chall;version;p1;p1wins1v1;p1wins2v2;p2;p2wins1v1;p2wins2v2;date;message
50;1.09v2beta;ECTH;2;0;SAURON;5;0;2021-01-14;
49;1.09v2beta;ECTH;1;0;SAURON;5;0;2021-01-03;
48;1.09v2beta;MUSTAFA;2;0;ECTH;5;0;2021-01-03;
47;1.09v2beta;MUSTAFA;3;0;OTTO;5;0;2020-12-28;
46;1.09v2beta;OTTO;0;0;SAURON;5;0;2020-12-28;
45;ADD_AND_KICK;HITMACHINE;0;0;IMPERIALIST;0;0;2020-12-27;
44;1.09v2beta;LAU;5;0;ECTH;2;0;2020-12-27;
43;1.09v2beta;OTTO;5;0;ZORBA;3;0;2020-12-25;
42;1.09v2beta;MEWTWO;0;0;ZORBA;5;0;2020-12-25;
41;1.09v2beta;ECTH;5;0;OTTO;1;0;2020-12-23;
40;1.09v2beta;MUSTAFA;1;0;PIKACHU;5;0;2020-12-23;
39;1.09v2beta;ECTH;5;0;OTTO;0;0;2020-11-27;
38;1.09v2beta;PIKACHU;5;1;MUSTAFA;1;0;2020-11-24;
37;1.09v2beta;TEMPT;5;0;MAKA;1;0;2020-11-11;Maka raged quited and dodged the 2vs2 part. Bad luzer.
36;1.09v2beta;ZORBA;2;2;ECTH;4;2;2020-09-27;
35;1.09v2beta;ZORBA;5;1;MUSTAFA;1;0;2020-09-25;
34;1.09v2beta;ECTH;2;2;OTTO;5;2;2020-09-25;
33;1.09v2beta;ECTH;3;1;AHWE;3;0;2020-09-13;
32;1.09v2beta;MUSTAFA;5;2;MAKA;1;0;2020-09-12;
31;1.09v2beta;ZORBA;1;0;OTTO;5;0;2020-09-03;
30;1.09v2beta;AHWE;1;1;SAURON;5;3;2020-09-03;
29;1.09v2beta;AHWE;2;4;ECTH;1;0;2020-09-02;
28;1.09v2beta;AHWE;4;3;ZORBA;3;1;2020-08-25;
27;1.09v2beta;ZORBA;6;1;FREEDOOM;1;2;2020-06-16;
26;1.09v2beta;FREEDOOM;2;2;MAKA;5;2;2020-06-06;
25;ADD_AND_KICK;DARYL;0;0;GLUTE;0;0;2020-06-01;glute asked to be removed
24;1.09v2beta;FREEDOOM;4;3;SCARECROW;3;0;2020-06-01;
23;1.09v2beta;LAU;4;3;GLUTE;3;3;2020-06-01;
22;1.09v2beta;MUSTAFA;2;1;DARYL;5;2;2020-05-27;
21;1.09v2beta;SCARECROW;6;0;JEDGAR;1;0;2020-05-27;
20;1.09v2beta;LAU;6;1;JONES;1;2;2020-05-26;
19;ADD_AND_KICK;DARYL;0;0;TEMPT;0;0;2020-05-25;tempt asked to be removed
18;1.09v2beta;SAURON;6;1;OTTO;1;1;2020-05-25;
17;1.09v2beta;MAKA;3;2;GLUTE;5;2;2020-05-24;
16;1.09v2beta;MAKA;1;1;OTTO;6;1;2020-05-24;
15;1.09v2beta;MAKA;4;3;LAU;4;2;2020-05-22;
14;1.09v2beta;ECTH;0;2;SAURON;4;3;2020-05-22;
13;1.09v2beta;GLUTE;6;1;MAKA;1;1;2020-05-21;
12;1.09v2beta;GLUTE;4;3;DARYL;3;3;2020-05-20;
11;1.09v2beta;MAKA;1;0;AHWE;6;1;2020-05-19;
10;1.09v2beta;SCARECROW;3;4;JONES;4;1;2020-05-19;
9;1.09v2beta;SAURON;5;4;ECTH;3;0;2020-05-19;
8;1.09v2beta;MAKA;3;4;SCARECROW;4;1;2020-05-18;
7;1.09v2beta;TEMPT;4;3;JONES;3;0;2020-05-17;
6;1.09v2beta15a5;ECTH;4;1;SAURON;3;5;2020-05-17;
5;1.09v2beta15a4;JEDGAR;2;1;DARYL;5;1;2020-05-16;
4;1.09v2beta15a4;MAKA;4;3;VITO;4;2;2020-05-16;
3;1.09v2beta15a4;IMPERIALIST;5;2;OTTO;2;1;2020-05-14;
2;1.09v2beta15a4;AHWE;4;0;ECTH;3;3;2020-05-14;
1;1.09v2beta15a4;SAURON;4;3;ECTH;3;0;2020-05-13;
